ID,Function,Date,Start Time,End Time,Category,Coordinator,Location,Status,Notes
1778368823201,Budget Review,2026-05-06,09:00,10:00,Finance,Maya Chen,Conference Room A,Confirmed,
1778368823202,Permit Intake Check-in,2026-05-06,13:30,14:00,Operations,James Nowell,Teams,Tentative,
1778368823203,Completed File Review,2026-05-06,16:00,16:30,Administration,James Nowell,Online,Completed,
1778368823204,Community Outreach Planning,2026-05-08,11:00,12:00,Public Services,Ari Patel,Room 214,Confirmed,
1778368823205,Vendor Demo,2026-05-12,15:00,16:00,Technology,Jordan Lee,Teams,Confirmed,
1778368823206,Monthly Status Report Due,2026-05-18,17:00,17:15,Administration,James Nowell,Online,Due,
1778368823207,Staff Training,2026-05-21,10:00,11:30,Training,Sam Rivera,Training Lab,Confirmed,
1778368823210,my birthday,2026-05-22,09:00,10:00,Fundraiser A,David Nowell,Parking Lot,Confirmed,
1778368823211,party time,2026-05-23,09:00,10:00,,Unassigned,Media Room,Confirmed,
1778368823208,test save,2026-06-09,09:00,10:00,Event E-1,James Nowell,Media Room,end3,
1778368823209,see if this saves,2026-06-17,09:00,10:00,End Category,End Coordinator,Media Room,End Status,
1778370090201,back to school,2026-08-11,09:00,10:00,Fundraiser A,Aline Nguyen,Media Room,Confirmed,
1778370489435,website view,2026-05-28,09:00,10:00,Fundraiser E,Aline Nguyen,Media Room,Confirmed,
1778370659318,going with public view,2026-05-29,09:00,10:00,Fundraiser A,Aline Nguyen,Media Room,Confirmed,
